symbol,entry_time,entry_price,exit_time,exit_price,quantity,direction,realized_pnl,reason
NIFTY22110318150CE,2022-11-01 09:15:00,69.65,2022-11-01 09:48:08,82.6,1,LONG,12.949999999999989,rotate_exit
NIFTY22110318150PE,2022-11-01 09:15:00,107.1,2022-11-01 09:48:08,101.4,1,LONG,-5.699999999999989,rotate_exit
NIFTY22110318200CE,2022-11-01 09:48:08,59.45,2022-11-01 09:48:09,59.55,1,LONG,0.09999999999999432,rotate_exit
NIFTY22110318200PE,2022-11-01 09:48:08,128.3,2022-11-01 09:48:09,127.9,1,LONG,-0.4000000000000057,rotate_exit
NIFTY22110318150CE,2022-11-01 09:48:09,82.65,2022-11-01 09:48:18,83.1,1,LONG,0.44999999999998863,rotate_exit
NIFTY22110318150PE,2022-11-01 09:48:09,101.35,2022-11-01 09:48:18,100.85,1,LONG,-0.5,rotate_exit
NIFTY22110318200CE,2022-11-01 09:48:18,59.65,2022-11-01 09:48:19,59.65,1,LONG,0.0,rotate_exit
NIFTY22110318200PE,2022-11-01 09:48:18,127.55,2022-11-01 09:48:19,127.35,1,LONG,-0.20000000000000284,rotate_exit
NIFTY22110318150CE,2022-11-01 09:48:19,83.05,2022-11-01 09:48:41,84.0,1,LONG,0.9500000000000028,rotate_exit
NIFTY22110318150PE,2022-11-01 09:48:19,100.6,2022-11-01 09:48:41,99.45,1,LONG,-1.1499999999999915,rotate_exit
NIFTY22110318200CE,2022-11-01 09:48:41,60.6,2022-11-01 12:16:01,59.1,1,LONG,-1.5,rotate_exit
NIFTY22110318200PE,2022-11-01 09:48:41,127.0,2022-11-01 12:16:01,130.2,1,LONG,3.1999999999999886,rotate_exit
NIFTY22110318150CE,2022-11-01 12:16:01,81.4,2022-11-01 12:16:07,81.85,1,LONG,0.44999999999998863,rotate_exit
NIFTY22110318150PE,2022-11-01 12:16:01,102.45,2022-11-01 12:16:07,102.55,1,LONG,0.09999999999999432,rotate_exit
NIFTY22110318200CE,2022-11-01 12:16:07,59.55,2022-11-01 12:16:08,59.4,1,LONG,-0.14999999999999858,rotate_exit
NIFTY22110318200PE,2022-11-01 12:16:07,130.1,2022-11-01 12:16:08,130.1,1,LONG,0.0,rotate_exit
NIFTY22110318150CE,2022-11-01 12:16:08,81.85,2022-11-01 12:16:14,82.45,1,LONG,0.6000000000000085,rotate_exit
NIFTY22110318150PE,2022-11-01 12:16:08,102.55,2022-11-01 12:16:14,102.05,1,LONG,-0.5,rotate_exit
NIFTY22110318200CE,2022-11-01 12:16:14,59.85,2022-11-01 12:33:43,62.4,1,LONG,2.549999999999997,rotate_exit
NIFTY22110318200PE,2022-11-01 12:16:14,129.65,2022-11-01 12:33:43,131.45,1,LONG,1.799999999999983,rotate_exit
NIFTY22110318150CE,2022-11-01 12:33:43,84.9,2022-11-01 12:33:44,85.55,1,LONG,0.6499999999999915,rotate_exit
NIFTY22110318150PE,2022-11-01 12:33:43,103.6,2022-11-01 12:33:44,103.55,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22110318200CE,2022-11-01 12:33:44,62.95,2022-11-01 12:34:30,62.2,1,LONG,-0.75,rotate_exit
NIFTY22110318200PE,2022-11-01 12:33:44,131.15,2022-11-01 12:34:30,131.8,1,LONG,0.6500000000000057,rotate_exit
NIFTY22110318150CE,2022-11-01 12:34:30,84.6,2022-11-01 12:34:37,85.65,1,LONG,1.0500000000000114,rotate_exit
NIFTY22110318150PE,2022-11-01 12:34:30,104.4,2022-11-01 12:34:37,103.4,1,LONG,-1.0,rotate_exit
NIFTY22110318200CE,2022-11-01 12:34:37,62.85,2022-11-01 12:34:55,62.3,1,LONG,-0.5500000000000043,rotate_exit
NIFTY22110318200PE,2022-11-01 12:34:37,130.85,2022-11-01 12:34:55,131.9,1,LONG,1.0500000000000114,rotate_exit
NIFTY22110318150CE,2022-11-01 12:34:55,85.0,2022-11-01 12:37:59,84.15,1,LONG,-0.8499999999999943,rotate_exit
NIFTY22110318150PE,2022-11-01 12:34:55,104.5,2022-11-01 12:37:59,104.1,1,LONG,-0.4000000000000057,rotate_exit
NIFTY22110318200CE,2022-11-01 12:37:59,61.9,2022-11-01 12:38:00,61.65,1,LONG,-0.25,rotate_exit
NIFTY22110318200PE,2022-11-01 12:37:59,131.65,2022-11-01 12:38:00,131.5,1,LONG,-0.15000000000000568,rotate_exit
NIFTY22110318150CE,2022-11-01 12:38:00,84.0,2022-11-01 12:38:01,84.05,1,LONG,0.04999999999999716,rotate_exit
NIFTY22110318150PE,2022-11-01 12:38:00,104.05,2022-11-01 12:38:01,104.4,1,LONG,0.3500000000000085,rotate_exit
NIFTY22110318200CE,2022-11-01 12:38:01,61.55,2022-11-01 12:38:04,62.0,1,LONG,0.45000000000000284,rotate_exit
NIFTY22110318200PE,2022-11-01 12:38:01,131.65,2022-11-01 12:38:04,130.9,1,LONG,-0.75,rotate_exit
NIFTY22110318150CE,2022-11-01 12:38:04,84.5,2022-11-01 12:38:06,84.45,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22110318150PE,2022-11-01 12:38:04,103.55,2022-11-01 12:38:06,103.1,1,LONG,-0.45000000000000284,rotate_exit
NIFTY22110318200CE,2022-11-01 12:38:06,62.25,2022-11-01 12:38:08,62.15,1,LONG,-0.10000000000000142,rotate_exit
NIFTY22110318200PE,2022-11-01 12:38:06,130.2,2022-11-01 12:38:08,130.5,1,LONG,0.30000000000001137,rotate_exit
NIFTY22110318150CE,2022-11-01 12:38:08,84.55,2022-11-01 12:38:09,84.9,1,LONG,0.3500000000000085,rotate_exit
NIFTY22110318150PE,2022-11-01 12:38:08,103.15,2022-11-01 12:38:09,102.95,1,LONG,-0.20000000000000284,rotate_exit
NIFTY22110318200CE,2022-11-01 12:38:09,62.4,2022-11-01 12:38:47,61.85,1,LONG,-0.5499999999999972,rotate_exit
NIFTY22110318200PE,2022-11-01 12:38:09,130.2,2022-11-01 12:38:47,131.8,1,LONG,1.6000000000000227,rotate_exit
NIFTY22110318150CE,2022-11-01 12:38:47,84.15,2022-11-01 12:41:29,84.1,1,LONG,-0.05000000000001137,rotate_exit
NIFTY22110318150PE,2022-11-01 12:38:47,104.1,2022-11-01 12:41:29,103.35,1,LONG,-0.75,rotate_exit
NIFTY22110318200CE,2022-11-01 12:41:29,61.55,2022-11-01 12:41:31,61.4,1,LONG,-0.14999999999999858,rotate_exit
NIFTY22110318200PE,2022-11-01 12:41:29,130.6,2022-11-01 12:41:31,131.3,1,LONG,0.700000000000017,rotate_exit
NIFTY22110318150CE,2022-11-01 12:41:31,83.6,2022-11-01 12:41:46,84.1,1,LONG,0.5,rotate_exit
NIFTY22110318150PE,2022-11-01 12:41:31,103.9,2022-11-01 12:41:46,103.9,1,LONG,0.0,rotate_exit
NIFTY22110318200CE,2022-11-01 12:41:46,61.5,2022-11-01 12:41:47,61.5,1,LONG,0.0,rotate_exit
NIFTY22110318200PE,2022-11-01 12:41:46,131.15,2022-11-01 12:41:47,130.95,1,LONG,-0.20000000000001705,rotate_exit
NIFTY22110318150CE,2022-11-01 12:41:47,84.1,2022-11-01 12:41:49,83.7,1,LONG,-0.3999999999999915,rotate_exit
NIFTY22110318150PE,2022-11-01 12:41:47,103.7,2022-11-01 12:41:49,103.95,1,LONG,0.25,rotate_exit
NIFTY22110318200CE,2022-11-01 12:41:49,61.25,2022-11-01 12:41:50,61.2,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22110318200PE,2022-11-01 12:41:49,131.35,2022-11-01 12:41:50,131.8,1,LONG,0.45000000000001705,rotate_exit
NIFTY22110318150CE,2022-11-01 12:41:50,83.6,2022-11-01 12:41:55,83.85,1,LONG,0.25,rotate_exit
NIFTY22110318150PE,2022-11-01 12:41:50,104.3,2022-11-01 12:41:55,103.9,1,LONG,-0.3999999999999915,rotate_exit
NIFTY22110318200CE,2022-11-01 12:41:55,61.3,2022-11-01 12:41:56,61.05,1,LONG,-0.25,rotate_exit
NIFTY22110318200PE,2022-11-01 12:41:55,131.0,2022-11-01 12:41:56,131.3,1,LONG,0.30000000000001137,rotate_exit
NIFTY22110318150CE,2022-11-01 12:41:56,83.2,2022-11-01 12:42:44,84.3,1,LONG,1.0999999999999943,rotate_exit
NIFTY22110318150PE,2022-11-01 12:41:56,103.75,2022-11-01 12:42:44,103.8,1,LONG,0.04999999999999716,rotate_exit
NIFTY22110318200CE,2022-11-01 12:42:44,61.85,2022-11-01 12:42:45,61.8,1,LONG,-0.05000000000000426,rotate_exit
NIFTY22110318200PE,2022-11-01 12:42:44,131.4,2022-11-01 12:42:45,131.4,1,LONG,0.0,rotate_exit
NIFTY22110318150CE,2022-11-01 12:42:45,84.1,2022-11-01 12:42:46,84.2,1,LONG,0.10000000000000853,rotate_exit
NIFTY22110318150PE,2022-11-01 12:42:45,103.8,2022-11-01 12:42:46,103.95,1,LONG,0.15000000000000568,rotate_exit
NIFTY22110318200CE,2022-11-01 12:42:46,61.65,2022-11-01 12:42:47,61.75,1,LONG,0.10000000000000142,rotate_exit
NIFTY22110318200PE,2022-11-01 12:42:46,131.5,2022-11-01 12:42:47,131.5,1,LONG,0.0,rotate_exit
NIFTY22110318150CE,2022-11-01 12:42:47,84.25,2022-11-01 12:42:48,84.5,1,LONG,0.25,rotate_exit
NIFTY22110318150PE,2022-11-01 12:42:47,103.7,2022-11-01 12:42:48,104.1,1,LONG,0.3999999999999915,rotate_exit
NIFTY22110318200CE,2022-11-01 12:42:48,62.0,2022-11-01 12:42:50,61.8,1,LONG,-0.20000000000000284,rotate_exit
NIFTY22110318200PE,2022-11-01 12:42:48,131.3,2022-11-01 12:42:50,131.85,1,LONG,0.549999999999983,rotate_exit
NIFTY22110318150CE,2022-11-01 12:42:50,84.15,2022-11-01 12:42:51,84.2,1,LONG,0.04999999999999716,rotate_exit
NIFTY22110318150PE,2022-11-01 12:42:50,104.1,2022-11-01 12:42:51,104.35,1,LONG,0.25,rotate_exit
NIFTY22110318200CE,2022-11-01 12:42:51,61.8,2022-11-01 12:42:58,61.85,1,LONG,0.05000000000000426,rotate_exit
NIFTY22110318200PE,2022-11-01 12:42:51,131.85,2022-11-01 12:42:58,131.3,1,LONG,-0.549999999999983,rotate_exit
NIFTY22110318150CE,2022-11-01 12:42:58,84.1,2022-11-01 12:43:00,84.4,1,LONG,0.30000000000001137,rotate_exit
NIFTY22110318150PE,2022-11-01 12:42:58,104.05,2022-11-01 12:43:00,104.05,1,LONG,0.0,rotate_exit
NIFTY22110318200CE,2022-11-01 12:43:00,61.75,2022-11-01 12:43:02,61.7,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22110318200PE,2022-11-01 12:43:00,131.1,2022-11-01 12:43:02,131.7,1,LONG,0.5999999999999943,rotate_exit
NIFTY22110318150CE,2022-11-01 12:43:02,84.1,2022-11-01 12:43:04,84.2,1,LONG,0.10000000000000853,rotate_exit
NIFTY22110318150PE,2022-11-01 12:43:02,104.1,2022-11-01 12:43:04,103.8,1,LONG,-0.29999999999999716,rotate_exit
NIFTY22110318200CE,2022-11-01 12:43:04,61.8,2022-11-01 12:43:08,61.7,1,LONG,-0.09999999999999432,rotate_exit
NIFTY22110318200PE,2022-11-01 12:43:04,131.2,2022-11-01 12:43:08,131.9,1,LONG,0.700000000000017,rotate_exit
NIFTY22110318150CE,2022-11-01 12:43:08,84.3,2022-11-01 12:43:22,84.25,1,LONG,-0.04999999999999716,rotate_exit
NIFTY22110318150PE,2022-11-01 12:43:08,104.35,2022-11-01 12:43:22,104.2,1,LONG,-0.14999999999999147,rotate_exit
NIFTY22110318200CE,2022-11-01 12:43:22,62.0,2022-11-01 12:43:23,62.1,1,LONG,0.10000000000000142,rotate_exit
NIFTY22110318200PE,2022-11-01 12:43:22,131.45,2022-11-01 12:43:23,131.45,1,LONG,0.0,rotate_exit
NIFTY22110318150CE,2022-11-01 12:43:23,84.65,2022-11-01 12:43:24,84.55,1,LONG,-0.10000000000000853,rotate_exit
